Tamanho, naoOpt, opt
10, 0.3418, 0.3834
32, 0.2611, 0.3653
50, 0.2835, 0.2769
64, 0.0703, 0.0760
100, 0.0623, 0.0485
128, 0.1393, 0.0413
200, 0.3121, 0.2604
250, 0.3386, 0.2847
256, 0.3611, 0.2930
300, 0.3738, 0.2837
400, 0.3755, 0.3015
512, 0.3345, 0.3120
600, 0.3332, 0.3186
1000, 0.3070, 0.2836
1024, 0.3226, 0.2755
2000, 0.2958, 0.2713
2048, 0.2776, 0.2687
3000, 0.2403, 0.2749
4096, 0.2237, 0.2656
