iteracao, newton_x, newton_crit, secante_x, secante_crit, erro_abs, erro_relat, ulp
0,5.0000000000000000e-01,0.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
1,4.3407933701186646e-01,1.5186316732310035e-01,4.3407933701186646e-01,1.5186316732310035e-01,0.0000000000000000e+00,0.0000000000000000e+00,0
2,4.2909229251926095e-01,1.1622311981708809e-02,4.2944303877315704e-01,1.0796072633880643e-02,-3.5074625389608372e-04,8.1741448171162277e-04,585900975
3,4.2906341988399171e-01,6.7292232176412704e-05,4.2906561584707781e-01,8.7963917904282916e-04,-2.1959630860934887e-06,5.1180384631419376e-06,904248480
4,4.2906341891615540e-01,2.2556952385713510e-09,4.2906341988399171e-01,5.1180384631419376e-06,-9.6783631109431667e-10,2.2556952385713510e-09,17434988
