iteracao, newton_x, newton_crit, secante_x, secante_crit, erro_abs, erro_relat, ulp
0,-1.0000000000000000e+00,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
1,-7.5000000000000000e-01,3.3333333333333331e-01,-7.5000000000000000e-01,3.3333333333333331e-01,0.0000000000000000e+00,0.0000000000000000e+00,0
2,-5.9999999999999998e-01,2.5000000000000006e-01,-6.5217391304347827e-01,1.4999999999999999e-01,5.2173913043478293e-02,8.6956521739130488e-02,1605944292
3,-5.2500000000000002e-01,1.4285714285714277e-01,-5.6875285518501606e-01,1.4667365112624398e-01,4.3752855185016037e-02,8.3338771780982923e-02,1665403490
4,-5.0217391304347825e-01,4.5454545454545525e-02,-5.2508244671264837e-01,8.3168669502803522e-02,2.2908533669170117e-02,4.5618725055490278e-02,1386409569
