iteracao, newton_x, newton_crit, secante_x, secante_crit, erro_abs, erro_relat, ulp
0,-2.0000000000000000e+00,0.0000000000000000e+00,-2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0
1,-3.5000000000000000e+00,4.2857142857142855e-01,-3.5000000000000000e+00,4.2857142857142855e-01,0.0000000000000000e+00,0.0000000000000000e+00,0
2,-3.0499999999999998e+00,1.4754098360655746e-01,-2.8571428571428572e+00,2.2499999999999998e-01,-1.9285714285714262e-01,6.3231850117095950e-02,1349846864
3,-3.0006097560975613e+00,1.6460069091647867e-02,-2.9836065573770494e+00,4.2386185243328142e-02,-1.7003198720511925e-02,5.6665811626985477e-03,1833732937
4,-3.0000000929222947e+00,2.0322105212759834e-04,-3.0006097560975609e+00,5.6665811626984003e-03,6.0966317526611746e-04,2.0322105212745032e-04,1550110244
5,-3.0000000000000022e+00,3.0974097509073297e-08,-2.9999974910996761e+00,2.0408850330750529e-04,-2.5089003261591358e-06,8.3630010871971131e-07,1354573990
6,-3.0000000000000000e+00,7.4014868308343773e-16,-2.9999999996176037e+00,8.3617264264054051e-07,-3.8239633681769192e-10,1.2746544560589731e-10,861079
